query_id,document_id,query_text,phrase_pl,doc_text,document_pl
45,6021,how many seconds should check for breathing,jak wiele sekund należy sprawdzać oddech,"Confidence votes 277. Breathing should be checked for 10 seconds, in that time you should be looking and checking for 3 things: 1- The rising of the chest-which would suggest the casualty is breathing. 2- Listening for breathing by the mouth-not to be confused with the alike sound of gasping in which the body sometimes does when someone is unconscious and not breathing.","Głosy zaufania 277. Oddech powinien być sprawdzany przez 10 sekund, w tym czasie powinieneś patrzeć i sprawdzać 3 rzeczy: 1- Unoszenie się klatki piersiowej-co sugerowałoby, że poszkodowany oddycha. 2- Nasłuchiwanie oddechu przy ustach-nie mylić z podobnym dźwiękiem łapania powietrza, które ciało czasem wykonuje, gdy ktoś jest nieprzytomny i nie oddycha."
46,6127,what does the term bar none mean,co oznacza termin bar none,"Confidence votes 2.8K. Bar none means excepting nothing or no one, as in He is the best looking man I have ever seen--bar none--even actors and male models!. <i>Bar none</i> means excepting nothing or no one, as in He is the best looking man I have ever seen--bar none--even actors and male models!. Minor edit? Save Cancel.","Głosy na tak 2,8 tys. Bar none oznacza z wyjątkiem niczego lub nikogo, jak w zdaniu: He is the best looking man I have ever seen--bar none--even actors and male models! (To najprzystojniejszy mężczyzna, jakiego kiedykolwiek widziałam--bez wyjątku--nawet aktorzy i modele!). <i>Bar none</i> oznacza z wyjątkiem niczego lub nikogo, jak w zdaniu: He is the best looking man I have ever seen--bar none--even actors and male models! (To najprzystojniejszy mężczyzna, jakiego kiedykolwiek widziałam--bez wyjątku--nawet aktorzy i modele!). Drobna edycja? Zapisz Anuluj."
47,6236,what is a mini whoodle,co to jest mini whoodle,"The Whoodle is a cross between the Soft-Coated Wheaten Terrier and the Poodle which comes in three sizes â toy, miniature, and standard. The Whoodle, then, also comes in three sizes â miniature, medium, and standard.","Whoodle to krzyżówka teriera irlandzkiego o miękkiej sierści i pudla, która występuje w trzech rozmiarach – toy, miniature i standard. Whoodle zatem również występuje w trzech rozmiarach – miniature, medium i standard."
48,6458,is frida kahlo mexican,czy frida kahlo jest meksykanka,"With slim sable brushes, Frida Kahlo painstakingly rendered her bold unibrow and mustache in dozens of self-portraits. This same Frida also shaved three years off her age, claiming 1910 to be the year she was born in Coyoac n, Mexico, instead of 1907.","Za pomocą cienkich sobolowych pędzli Frida Kahlo mozolnie odtwarzała swój śmiały monobrew i wąsik w dziesiątkach autoportretów. Ta sama Frida ścięła także trzy lata ze swojego wieku, podając 1910 jako rok swoich urodzin w Coyoacán w Meksyku, zamiast 1907."
49,6564,what causes everything to taste sugary,"co powoduje, że wszystko smakuje słodko",Diabetic neuropathy can also cause this problem of experiencing sweet sensation in the mouth. Treatment : You need to consult your doctor if you start sensing constant sweet taste in your mouth. He would find out the underlying cause for this problem which is only a symptom of some other disease.,"Neuropatia cukrzycowa również może powodować ten problem odczuwania słodkiej sensacji w ustach. Leczenie : Musisz skonsultować się z twoim lekarzem jeśli zaczniesz wyczuwać stały słodki smak w twoich ustach. On odkryłby leżącą u podłoża przyczynę dla tego problemu, który jest tylko symptomem jakiejś innej choroby."
50,6673,what color is venus planet,jaki kolor ma planeta wenus,"Mercury: grey. Venus: yellowish-white. Earth: light blue with white clouds; oceans and light scattered by the atmosphere make Earth prevailingly blue. Mars: red-orange. Jupiter: has orange and white bands; the white bands are colored by ammonia clouds, while the orange comes from ammonium hydrosulfide clouds.Saturn: pale yellow; ammonia haze covers the whole planet and obscures redder clouds below. Uranus: light blue; the color comes from methane clouds.arth: light blue with white clouds; oceans and light scattered by the atmosphere make Earth prevailingly blue. Mars: red-orange. Jupiter: has orange and white bands; the white bands are colored by ammonia clouds, while the orange comes from ammonium hydrosulfide clouds.","Merkury: szary. Wenus: żółtawobiała. Ziemia: jasnoniebieska z białymi chmurami; oceany i światło rozproszone przez atmosferę sprawiają, że Ziemia jest przeważnie niebieska. Mars: czerwonopomarańczowy. Jowisz: ma pomarańczowe i białe pasy; białe pasy są zabarwione przez chmury amoniaku, podczas gdy pomarańczowy kolor pochodzi z chmur wodorku siarczku amonu. Saturn: bladożółty; mgiełka amoniaku pokrywa całą planetę i przesłania bardziej czerwone chmury poniżej. Uran: jasnoniebieski; kolor pochodzi od chmur metanu. Ziemia: jasnoniebieska z białymi chmurami; oceany i światło rozproszone przez atmosferę sprawiają, że Ziemia jest przeważnie niebieska. Mars: czerwonopomarańczowy. Jowisz: ma pomarańczowe i białe pasy; białe pasy są zabarwione przez chmury amoniaku, podczas gdy pomarańczowy kolor pochodzi z chmur wodorku siarczku amonu."
51,6685,what class lever is a nutcracker,jakiej klasy dźwignią jest dziadka do orzechów,"In a lever when the load is between fulcrum and effort, it is classified as a Type 2 Lever. A nutcracker is one example. Observing a nutcracker in action, it... In a lever when the load is between fulcrum and effort, it is classified as a Type 2 Lever. A nutcracker is one example. Observing a nutcracker in action, it is clear that only point that does not move, i.e. the fulcrum, is at the end of the instrument where the two blades meet..","W dźwigni, gdy obciążenie znajduje się między punktem podparcia a siłą wysiłku, jest ona klasyfikowana jako dźwignia typu 2. Dziadka do orzechów jest tego przykładem. Obserwując działającą dziadkę do orzechów, widać, że jedynym punktem, który się nie porusza, czyli punktem podparcia, jest koniec narzędzia, w którym spotykają się dwa ramiona."
52,6793,what does the name halima mean,co oznacza imię halima,Egyptian Meaning: The name Halima is an Egyptian baby name. In Egyptian the meaning of the name Halima is: Gentle. Muslim Meaning: The name Halima is a Muslim baby name. In Muslim the meaning of the name Halima is: Gentle. Patient. Mild.,Znaczenie egipskie: Imię Halima jest egipskim imieniem dla dzieci. W języku egipskim znaczenie imienia Halima to: Łagodna. Znaczenie muzułmańskie: Imię Halima jest muzułmańskim imieniem dla dzieci. W islamie znaczenie imienia Halima to: Łagodna. Cierpliwa. Delikatna.
53,7012,meds that can cause irregular heartbeat,"leki, które mogą powodować nieregularne bicie serca","This list is incomplete and various other drugs or substances may cause your symptoms (see Irregular heartbeat). Always advise your doctor of any medications or treatments you are using, including prescription, over-the-counter, supplements, herbal or alternative treatments. 1  Aldazine. 2  Amphetamine Sulfate. 3  Anatensol.","Ta lista jest niekompletna i różne inne leki lub substancje mogą powodować twoje objawy (patrz Nieregularne bicie serca). Zawsze informuj swojego lekarza o wszystkich przyjmowanych lekach lub terapiach, w tym przepisanych, dostępnych bez recepty, suplementach, ziołowych lub alternatywnych. 1  Aldazine. 2  Amphetamine Sulfate. 3  Anatensol."
54,7115,how much does a ballet dancer make,ile zarabia baletnica,"Best Answer: It does vary. However in a Major Ballet company the starting figure is around $30,000 per year. *Note to anonymous..... I did not give the rate for a regional or a small national company, or for an apprentice.","Najlepsza odpowiedź: To jest zróżnicowane. Jednak w głównej firmie baletowej początkowa kwota wynosi około 30 000 $ rocznie. *Uwaga dla anonima..... Nie podałem stawki dla regionalnej lub małej krajowej firmy, ani dla stażysty."
55,7223,highest enlisted marine female,najwyższa stopniem kobieta w korpusie piechoty morskiej,"Averaging all four military branches, women officers represent. 7 percent at the rank of Admiral, and 15.5 percent of officers overall. At the rank of Officer W-1 or above, women are most highly represented in the Air Force. (18.5%) and least represented in the Marine Corps (5.8%). This pattern appears the same at the rank of E9 or below. The Air Force has the largest proportion of. women at the rank of E9 or below (19.7%) and the Marine Corps has the smallest proportion of women enlisted personnel (6.4%). The positive finding is that. womenâs percentage in officer ranks in the U.S. military services roughly equals their percentage in enlisted ranks.","Uśredniając wszystkie cztery rodzaje sił zbrojnych, kobiety oficerowie stanowią 7 procent na stopniu Admirała i 15,5 procent wszystkich oficerów. Na stopniu oficera W-1 lub wyższym kobiety są najbardziej reprezentowane w Siłach Powietrznych (18,5%) i najmniej w Korpusie Piechoty Morskiej (5,8%). Ten sam schemat pojawia się na stopniu E9 lub niższym. Siły Powietrzne mają największy odsetek kobiet na stopniu E9 lub niższym (19,7%), a Korpus Piechoty Morskiej ma najmniejszy odsetek kobiet wśród personelu szeregowego (6,4%). Pozytywnym odkryciem jest to, że odsetek kobiet w stopniach oficerskich w amerykańskich siłach zbrojnych w przybliżeniu równa się ich odsetkowi w stopniach szeregowych."
56,7334,cyrillic alphabet definition,definicja alfabetu cyrylickiego,"For national variants of the Cyrillic script, see Cyrillic alphabets. For other uses, see Cyrillic (disambiguation). The Cyrillic script /sáµ»ËrÉªlÉªk/ is a writing system used for various alphabets across eastern Europe and north and central Asia. It is based on the Early Cyrillic, which was developed in the First Bulgarian Empire during the 9th century AD at the Preslav Literary School.","W sprawie narodowych wariantów pisma cyrylickiego, zobacz alfabety cyrylickie. W sprawie innych zastosowań, zobacz Cyrylica (ujednoznacznienie). Cyrylica /sáµ»ËrÉªlÉªk/ to system pisma używany dla różnych alfabetów we wschodniej Europie oraz w północnej i środkowej Azji. Jest oparty na wczesnej cyrylicy, która została opracowana w Pierwszym Cesarstwie Bułgarskim w IX wieku naszej ery w Szkole Piśmienniczej w Presławiu."
57,7445,spousal roth ira contribution after age 70,wkład małżeński do roth ira po wieku 70 lat,"No contributions allowed after age 70-1/2. None. Annual Earned Income Requirements. Total traditional IRA contribution amount for both spouses cannot exceed total amount of your joint taxable income, or double the annual IRA limit, whichever is less.bility to deduct contributions to a traditional IRA may be limited or entirely eliminated if the working spouse contributes to an employer-sponsored plan. No effect on eligibility for spousal Roth IRA. Age Limits on Contributions Yes. Contributions are not permitted for a nonworking spouse beyond age 70 1/2.","Wkłady niedozwolone po wieku 70-1/2. Żadne. Wymagania Rocznego Dochodu Zarobkowego. Całkowita kwota wpłaty na tradycyjne IRA dla obojga małżonków nie może przekraczać całkowitej kwoty waszego łącznego dochodu podlegającego opodatkowaniu lub podwójności rocznego limitu IRA, w zależności od tego, która wartość jest niższa. Możliwość odliczenia wpłat na tradycyjne IRA może być ograniczona lub całkowicie wyeliminowana, jeśli pracujący małżonek wnosi wkład do planu sponsorowanego przez pracodawcę. Brak wpływu na kwalifikowalność do małżeńskiego Roth IRA. Limity Wiekowe dla Wkładów Tak. Wkłady nie są dozwolone dla niepracującego małżonka po osiągnięciu wieku 70 i 1/2."
58,7553,typical retirement fers,typowa emerytura fers,"The Federal Employees Retirement System (FERS) is the retirement system for employees within the United States civil service. FERS became effective January 1, 1987 to replace the Civil Service Retirement System (CSRS) and to conform federal retirement plans in line with those in the private sector. Contents.","Federalny System Emerytalny Pracowników (FERS) jest systemem emerytalnym dla pracowników w ramach służby cywilnej Stanów Zjednoczonych. FERS wszedł w życie 1 stycznia 1987 roku, aby zastąpić System Emerytalny Służby Cywilnej (CSRS) i dostosować federalne plany emerytalne do tych w sektorze prywatnym. Spis treści."
59,7662,what does the name asia mean,co oznacza imię azja,"Asia [asia] as a girls' name is pronounced AY-zhah. It is of Greek origin, and the meaning of Asia is sunrise. May also derive from Assyrian asu meaning east. Modern name, usually used in reference to the continent. Also sometimes used as a short form of a name ending with -ia, such as Aspasia. According to the Koran, Asia was the name of the Pharoah's wife who raised the infant Moses. Asia is also a variant of Aisha, the name of Muhammad's favorite wife, one of the four perfect women. See also Fatima, Khadija, and Mary.","Azja [asia] jako imię dla dziewczynek wymawia się AY-zhah. Pochodzenia greckiego, a znaczenie Azji to wschód słońca. Może również wywodzić się z asyryjskiego asu oznaczającego wschód. Współczesne imię, zazwyczaj używane w odniesieniu do kontynentu. Również czasami używane jako skrócona forma imienia kończącego się na -ia, takiego jak Aspazja. Według Koranu, Azja było imieniem żony faraona, która wychowała niemowlę Mojżesza. Azja jest również wariantem Aiszy, imienia ulubionej żony Mahometa, jednej z czterech doskonałych kobiet. Zobacz także Fatima, Chadidża i Maria."
60,7766,what cell type is responsible for producing current?,jaki typ komórki jest odpowiedzialny za wytwarzanie prądu?,"A common dry cell is the zincâcarbon battery, sometimes called the dry Leclanche leclanchÃ©, cell with a nominal voltage of.1 5, volts the same as the alkaline (battery since both use the same â zinc manganese dioxide). combination","Powszechnym ogniwem suchym jest ogniwo cynkowo-węglowe, czasami nazywane suchym ogniwem Leclanchego, o napięciu nominalnym 1,5 wolta, takim samym jak ogniwo alkaliczne (bateria), ponieważ oba używają tej samej kombinacji cynk – dwutlenek manganu)."
61,7777,what causes excel file corruption,co powoduje uszkodzenie pliku excel,Common reasons for Ms excel corruption. Improper shutdown of computer â Basically the files size of Excel are large therefore if there is any improper shutdown of system occur there are chances that your open Ms excel can easily corrupt. The improper shut down can occur due to power failure or any other reason.,"Powszechne przyczyny uszkodzenia Ms Excel. Nieprawidłowe zamknięcie komputera â Zasadniczo rozmiary plików Excela są duże, dlatego jeśli nastąpi nieprawidłowe zamknięcie systemu, istnieje szansa, że otwarty Ms Excel może łatwo ulec uszkodzeniu. Nieprawidłowe zamknięcie może nastąpić z powodu awarii zasilania lub z jakiegokolwiek innego powodu."
62,7885,infrax system,system infrax,"Become an Infrax Systems Partner Infrax Systems is seeking qualified, highly motivated System Integrators, Value Added Resellers (VARs) and Distributors to join the Infrax team in delivering State-of-the-art equipment and unbeatable value to the growing wireless backhaul and access markets.","Zostań Partnerem Infrax Systems Infrax Systems poszukuje wykwalifikowanych, wysoko zmotywowanych integratorów systemów, dealerów dodających wartość (VAR) oraz dystrybutorów, aby dołączyli do zespołu Infrax w dostarczaniu najnowocześniejszego sprzętu i niezrównanej wartości dla rosnących rynków bezprzewodowej sieci szkieletowej i dostępu."
63,8103,what is a virtual interface,co to jest interfejs wirtualny,A virtual interface is a pointer to an actual interface in SystemVerilog. It is most often used in classes to provide a connection point to allow classes to access the signals in the interface through the virtual interface pointer. You can see some examples of how to use virtual interfaces in the UVM Cookbook.,"Interfejs wirtualny to wskaźnik do rzeczywistego interfejsu w SystemVerilog. Jest najczęściej używany w klasach, aby zapewnić punkt połączenia umożliwiający klasom dostęp do sygnałów w interfejsie poprzez wskaźnik interfejsu wirtualnego. Możesz zobaczyć kilka przykładów użycia interfejsów wirtualnych w UVM Cookbook."
64,8217,what ethnicity is darren criss' mom?,jakiej narodowości jest mama darrena crissa?,"Darren's mother is from Cebu in the Philippines, and has Filipino, Chinese, and Spanish ancestry. Darren's father is from Pittsburgh, Pennsylvania, and has English, and some German and Northern Irish, ancestry.","Mama Darrena pochodzi z Cebu na Filipinach i ma filipińskie, chińskie i hiszpańskie pochodzenie. Ojciec Darrena pochodzi z Pittsburgha w Pensylwanii i ma angielskie oraz częściowo niemieckie i północnoirlandzkie pochodzenie."
65,8328,how was the esperanza fire started,jak został wywołany pożar esperanza,"The Esperanza Fire started on Oct. 26, 2006, in Cabazon, Calif., about two hours north of San Diego. Driven by Santa Ana winds, it burned 41,000 acres and destroyed 34 homes. An investigation later determined that the fire was set by an arsonist, and in 2009 Raymond Lee Oyler was sentenced to death for the crime.","Pożar Esperanza wybuchł 26 października 2006 roku w Cabazon w Kalifornii, około dwie godziny na północ od San Diego. Pędzony wiatrami Santa Ana, spalił 41 000 akrów i zniszczył 34 domy. Śledztwo wykazało później, że pożar został podłożony przez podpalacza, a w 2009 roku Raymond Lee Oyler został skazany na karę śmierci za to przestępstwo."
66,8439,what does whistling dixie mean,co oznacza gwizdanie dixie,"Rating Newest Oldest. Best Answer: You are correct. Whistling Dixie is a slang term that means unrealistic fantasizing. The phrase, You ain't just whistling Dixie means you're saying something truthful and serious. During the American Civil War, a popular song was Dixieland, which told of the virtues of living in the south.","Ocena Najnowsze Najstarsze. Najlepsza odpowiedź: Masz rację. Gwizdanie Dixie to termin slangowy oznaczający nierealistyczne fantazjowanie. Zwrot You ain't just whistling Dixie oznacza, że mówisz coś prawdziwego i poważnego. Podczas amerykańskiej wojny secesyjnej popularną piosenką była Dixieland, która opowiadała o zaletach życia na południu."
67,8652,how does a bump key work,jak działa wytrych uderzeniowy,Bumping a Lock. 1  1. Insert the key into the lock. Fit the key into the lock. 2  2. Begin turning the key. Try turning the key in the unlock direction (usually counterclockwise). 3  3. Strike the back of the key with a blunt object.,Uderzanie w zamek. 1  1. Włóż klucz do zamka. Wsuń klucz do zamka. 2  2. Zacznij obracać klucz. Spróbuj obrócić klucz w kierunku odblokowania (zazwyczaj przeciwnie do ruchu wskazówek zegara). 3  3. Uderz w tylną część klucza tępym przedmiotem.
68,8764,is gwen stefani italian,czy gwen stefani jest włoszką,"Gwen Stefani. Gwen RenÃ©e Stefani (/É¡wÉn ËstÉËfÉËni/; born October 3, 1969) is an American singer, songwriter, fashion designer, actress, and television personality.","Gwen Stefani. Gwen Renée Stefani (/ɡwɛn stəˈfɑːni/; ur. 3 października 1969) jest amerykańską piosenkarką, autorką tekstów, projektantką mody, aktorką i osobowością telewizyjną."
69,8991,what causes exhaust hanger to fail,co powoduje awarię mocowania wydechu,"Have your vehicle's exhaust system inspected periodically to keep your car safe. Loose, missing or damaged hangers or brackets can allow the exhaust system to shift around, causing a possible clunking or rubbing sound while driving. A loose exhaust system, when hot, can also melt wiring, nylon lines or rubber hoses.","Zlecaj okresowe sprawdzanie układu wydechowego Twojego pojazdu, aby zapewnić bezpieczeństwo samochodu. Luźne, brakujące lub uszkodzone mocowania lub wsporniki mogą pozwolić na przemieszczanie się układu wydechowego, powodując możliwe stuki lub odgłosy ocierania podczas jazdy. Luźny układ wydechowy, gdy jest gorący, może również stopić okablowanie, przewody nylonowe lub węże gumowe."
70,9323,what county is fine ny in,w jakim hrabstwie jest fine ny,"Fine, New York. Fine is a town in St. Lawrence County, New York, United States. The population was 1,512 at the 2010 census. The town is named after Judge John Fine, a businessman involved in settling the town. The Town of Fine is in the south part of the county, south of Canton.","Fine, Nowy Jork. Fine to miasto w hrabstwie St. Lawrence, stan Nowy Jork, Stany Zjednoczone. Populacja wynosiła 1512 według spisu z 2010 roku. Miasto nosi imię sędziego Johna Fine'a, biznesmena zaangażowanego w zasiedlanie miasta. Miasto Fine znajduje się w południowej części hrabstwa, na południe od Canton."
71,9432,what can cause a metallic smell,co może powodować metaliczny zapach,"Metallic taste or other bad taste in the mouth. Sometimes our normal sense of taste can temporarily change, causing a metallic or other bad taste in the mouth. This may occur for a number of reasons. Tastes are detected within our mouth by special structures known as taste buds.","Metaliczny posmak lub inny nieprzyjemny posmak w ustach. Czasami nasz normalny zmysł smaku może tymczasowo się zmienić, powodując metaliczny lub inny nieprzyjemny posmak w ustach. Może się tak zdarzyć z wielu powodów. Smaki są wykrywane w naszej jamie ustnej przez specjalne struktury znane jako kubki smakowe."
72,9533,what are garlic supplements good for,na co są dobre suplementy czosnku,"It is best known as a flavoring for food. But over the years, garlic has been used as a medicine to prevent or treat a wide range of diseases and conditions. The fresh clove or supplements made from the clove are used for medicine. Garlic is used for many conditions related to the heart and blood system.These conditions include high blood pressure, high cholesterol, coronary heart disease, heart attack, and âhardening of the arteriesâ (atherosclerosis).arlic has been used safely in research for up to 7 years. When taken by mouth, garlic can cause bad breath, a burning sensation in the mouth or stomach, heartburn, gas, nausea, vomiting, body odor, and diarrhea.","Jest on najlepiej znany jako przyprawa do żywności. Ale na przestrzeni lat czosnek był używany jako lek do zapobiegania lub leczenia szerokiego zakresu chorób i dolegliwości. W celach medycznych używa się świeżego ząbka lub suplementów wykonanych z ząbka. Czosnek jest stosowany przy wielu schorzeniach związanych z sercem i układem krwionośnym. Te schorzenia obejmują wysokie ciśnienie krwi, wysoki cholesterol, chorobę wieńcową, zawał serca i „twardnienie tętnic” (miażdżycę). Czosnek był bezpiecznie stosowany w badaniach przez okres do 7 lat. Przyjmowany doustnie może powodować nieświeży oddech, uczucie pieczenia w ustach lub żołądku, zgagę, gazy, nudności, wymioty, odór ciała i biegunkę."
73,9755,what county is lochbuie co in,w jakim hrabstwie jest lochbuie co,"Lochbuie, Colorado. The Town of Lochbuie (/ËlÉkbjui/ lock-BYOU-ee) is a Statutory Town located in Weld and Adams counties in the U.S. state of Colorado. The town population was 4726 at the 2010 United States Census. Contents.","Lochbuie, Kolorado. Miasto Lochbuie (/ˌlɒkbjuːi/ lock-BYOU-ee) to statutowe miasto położone w hrabstwach Weld i Adams w stanie Kolorado w Stanach Zjednoczonych. Populacja miasta wynosiła 4726 podczas Spisu Powszechnego Stanów Zjednoczonych w 2010 roku. Spis treści."
74,9972,vde definition,definicja vde,VDE-Computer Definition. (1) (V ideo D isplay E ditor) A WordStar and WordPerfect-compatible shareware word processor written by Eric Meyer. (2) (V erband D eutscher E lektrotechniker) The German counterpart of the U.S. Underwriters Lab.Computer Desktop Encyclopedia THIS DEFINITION IS FOR PERSONAL USE ONLY All other reproduction is strictly prohibited without permission from the publisher.2) (V erband D eutscher E lektrotechniker) The German counterpart of the U.S. Underwriters Lab. Computer Desktop Encyclopedia THIS DEFINITION IS FOR PERSONAL USE ONLY All other reproduction is strictly prohibited without permission from the publisher.,Definicja komputera VDE. (1) (V ideo D isplay E ditor) Kompatybilny z WordStar i WordPerfect shareware'owy edytor tekstu napisany przez Erica Meyera. (2) (V erband D eutscher E lektrotechniker) Niemiecki odpowiednik amerykańskiego Underwriters Lab.Computer Desktop Encyclopedia TA DEFINICJA PRZEZNACZONA JEST WYŁĄCZNIE DO UŻYTKU OSOBISTEGO Wszelkie inne powielanie jest surowo zabronione bez zgody wydawcy.2) (V erband D eutscher E lektrotechniker) Niemiecki odpowiednik amerykańskiego Underwriters Lab. Computer Desktop Encyclopedia TA DEFINICJA PRZEZNACZONA JEST WYŁĄCZNIE DO UŻYTKU OSOBISTEGO Wszelkie inne powielanie jest surowo zabronione bez zgody wydawcy.
75,9990,definition chemical,definicja chemiczny,"A chemical element is a pure substance which is composed of a single type of atom, characterized by its particular number of protons in the nuclei of its atoms, known as the atomic number and represented by the symbol Z. The mass number is the sum of the number of protons and neutrons in a nucleus.","Pierwiastek chemiczny to czysta substancja, która złożona jest z pojedynczego typu atomów, charakteryzująca się swoją szczególną liczbą protonów w jądrach swoich atomów, znaną jako liczba atomowa i reprezentowaną przez symbol Z. Liczba masowa jest sumą liczby protonów i neutronów w jądrze."
76,10087,difference between hep b and c,różnica między wzw b i c,"In addition to the differences in replication method, transmission risk is higher with Hep B as it can be sexually transmitted, whereas generally not with Hep C. The large majority of adult patients exposed to Hep B clear it, whereas with Hep C adults who are exposed and clear are the minority.","Oprócz różnic w metodzie replikacji, ryzyko transmisji jest wyższe w przypadku WZW B, ponieważ może być ono przenoszone drogą płciową, podczas gdy ogólnie nie dotyczy to WZW C. Zdecydowana większość dorosłych pacjentów narażonych na WZW B zwalcza je, podczas gdy w przypadku WZW C dorośli, którzy są narażeni i je zwalczają, stanowią mniejszość."
77,10204,what causes extreme swelling in just one leg?,co powoduje silny obrzęk tylko jednej nogi?,"Obstruction of veins draining the leg on one side of the body can cause edema in one leg. A blood clot in the leg, known as a DVT for deep vein thrombosis, is one possible cause of venous obstruction. A DVT is more common when a person is inactive for extended periods, such as during a long flight.","Zablokowanie żył odprowadzających krew z nogi po jednej stronie ciała może powodować obrzęk jednej nogi. Skrzep krwi w nodze, znany jako DVT (zakrzepica żył głębokich), jest jedną z możliwych przyczyn niedrożności żył. DVT występuje częściej, gdy dana osoba jest nieaktywna przez dłuższy czas, na przykład podczas długiego lotu."
78,10417,what citation is used for outside sources,jakiego cytowania używa się dla źródeł zewnętrznych,"APA Style for Citing References. APA style requires two elements for citing outside sources: brief parenthetical citations in the text of a. paper, and a detailed References list at the end. Together, these elements allow your reader to know. and to access the sources you used. For the system to function, all sources cited in the text must appear.","Styl APA do cytowania odniesień. Styl APA wymaga dwóch elementów do cytowania źródeł zewnętrznych: krótkich cytatów w nawiasach w tekście pracy oraz szczegółowej listy Odniesień na końcu. Razem elementy te pozwalają twojemu czytelnikowi poznać i uzyskać dostęp do źródeł, których użyłeś. Aby system działał, wszystkie źródła cytowane w tekście muszą się pojawić."
79,10747,what are the drugs used for moderate sedation,jakie leki są stosowane do sedacji umiarkowanej,"Lorazepam (Ativan) is another benzodiazepine that may be used for mild-to-moderate sedation; however, unlike midazolam, its onset of action does not peak until 15-20 minutes after administration. The duration of action of lorazepam is longer (ie, 6-8 h) than that of midazolam (30-60 min).","Lorazepam (Ativan) to kolejna benzodiazepina, która może być stosowana do sedacji łagodnej do umiarkowanej; jednak w przeciwieństwie do midazolamu, jej początek działania nie osiąga szczytu aż do 15-20 minut po podaniu. Czas działania lorazepamu jest dłuższy (tj. 6-8 h) niż midazolamu (30-60 min)."
80,10854,what is hardie plank,co to jest hardie plank,"Hardie plank siding is a premium brand of cement board siding (also known as fiber cement board siding) produced by the James Hardie Company.ardie plank can be purchased with a wood-grain look, a plain smooth look or a stucco type finish. Hardie plank also comes in simulated cedar shingle planks.","Hardie plank to wysokiej jakości marka sidingu z płyty cementowej (znana również jako siding z płyty włóknisto-cementowej) produkowana przez firmę James Hardie. Płytę Hardie można zakupić z wyglądem ziarna drewna, gładką powierzchnią lub wykończeniem typu tynk. Płyta Hardie występuje również w wersji imitującej cedrowe gonty."
81,10964,what does ISF mean fluid do,co oznacza płyn ISF,"Interstitial fluid or tissue fluid is a solution that bathes and surrounds the tissue cells of multicellular animals.ometimes the removal of tissue fluid does not function correctly, and there is a build-up. This can cause swelling, often around the feet and ankles, which is generally known as oedema. The position of swelling is due to the effects of gravity.","Płyn śródmiąższowy lub płyn tkankowy to roztwór, który obmywa i otacza komórki tkankowe zwierząt wielokomórkowych. Czasami usuwanie płynu tkankowego nie funkcjonuje prawidłowo i dochodzi do jego nagromadzenia. Może to powodować obrzęk, często wokół stóp i kostek, który jest ogólnie znany jako obrzęk. Pozycja obrzęku jest spowodowana działaniem grawitacji."
82,11081,what is a affidavit of support,co to jest affidavit of support,"The Affidavit of Support form is a legal contract required by U.S. law between the Petitioner (sponsor) of an immigrant visa applicant(s) and the U.S. government. The sponsor for the visa applicant(s) must establish he or she has certain means to financially support the visa applicant(s), if necessary.","Formularz Affidavit of Support to umowa prawna wymagana przez prawo amerykańskie między Petentem (sponsorem) wnioskującego o wizę imigracyjną a rządem Stanów Zjednoczonych. Sponsor wnioskującego o wizę musi wykazać, że dysponuje odpowiednimi środkami, aby w razie potrzeby wspierać finansowo wnioskującego o wizę."
83,11102,syracuse minor league baseball,syracuse baseball ligi niższej,"Syracuse Chiefs. The Syracuse Chiefs are a Minor League Baseball team based in Syracuse, New York. The Triple-A affiliate of the Washington Nationals, the team plays in the International League (IL). NBT Bank Stadium, on Syracuse's northside, is the Chiefs' home stadium.","Syracuse Chiefs. Syracuse Chiefs to drużyna baseballowa ligi niższej (Minor League Baseball) z siedzibą w Syracuse, w stanie Nowy Jork. Drużyna, będąca klubem farmerskim Triple-A Washington Nationals, gra w International League (IL). NBT Bank Stadium, położony na północy Syracuse, jest stadionem domowym Chiefs."
84,11321,current fuel price in delhi,aktualna cena paliwa w delhi,"Petrol price hiked by 75 paise; diesel by 50 paise. Petrol in Delhi currently costs Rs 71.51 per litre and after the increase it will be priced at Rs 72.43 per litre, including VAT. Petrol price cut by Rs 1.15 per litre; diesel hiked by 50 paise.","Cena benzyny podniesiona o 75 pajs; oleju napędowego o 50 pajs. Benzyna w Delhi kosztuje obecnie 71,51 rupii za litr, a po podwyżce będzie kosztować 72,43 rupii za litr, w tym podatek VAT. Cena benzyny obniżona o 1,15 rupii za litr; oleju napędowego podniesiona o 50 pajs."
85,11431,what causes eyelid itching and swelling,co powoduje swędzenie i opuchliznę powiek,"The causes are many and can have bacterial infection, seborrheic dermatitis of the face or even a scalp, rosacea, allergies, and in very rare cases, the lice. If the itchy eyelids is brought about by seborrheic dermatitis then you may develop dry, flakey patches of skin on the eyelid.","Przyczyn jest wiele i mogą obejmować infekcję bakteryjną, łojotokowe zapalenie skóry twarzy lub nawet skóry głowy, trądzik różowaty, alergie, a w bardzo rzadkich przypadkach, wszy. Jeśli swędzące powieki jest spowodowane łojotokowym zapaleniem skóry, wówczas mogą rozwinąć się suche, łuszczące się płaty skóry na powiece."
